교과목명,수업 유형,중간 평가,기말 평가,이수 구분,대상 학과,학년,학수 번호,학점,수업수
인간과과학,출석수업,과제물,기말 시험,교양,통계·데이터,1,124,3,15
대학영어,-,과제물,기말 시험,교양,통계·데이터,1,171,3,15
심리학에게묻다,-,과제물,기말과제물,교양,통계·데이터,1,173,3,15
원격대학교육의이해,웹 강의,-,-,교양,통계·데이터,1,500,1,7
통계로세상읽기,비대면 수업,대체시험,기말 시험,전공,통계·데이터,1,35101,3,15
데이터과학개론,-,과제물,기말 시험,전공,통계·데이터,1,35105,3,15
파이썬컴퓨팅,비대면 수업,대체과제물,기말 시험,전공,통계·데이터,1,35106,3,15
철학의이해,-,과제물,기말과제물,교양,통계·데이터,2,106,3,15
대학수학의이해,비대면 수업,대체시험,기말 시험,교양,통계·데이터,2,201,3,15
원격대학교육의이해,웹 강의,-,-,교양,통계·데이터,2,500,1,7
여론조사의이해,-,과제물,기말 시험,전공,통계·데이터,2,35227,3,15
파이썬과 R,비대면 수업,대체과제물,기말 시험,전공,통계·데이터,2,35301,3,15
빅데이터의이해와활용,-,과제물,기말 시험,전공,통계·데이터,2,35457,3,15
경제학의이해,-,과제물,기말 시험,교양,통계·데이터,2,43211,3,15
원격대학교육의이해,웹 강의,-,-,교양,통계·데이터,3,500,1,7
생활법률,-,과제물,기말 시험,교양,통계·데이터,3,21151,3,15
파이썬데이터처리,-,과제물,기말 시험,전공,통계·데이터,3,35302,3,15
표본조사론,비대면 수업,대체과제물,기말 시험,전공,통계·데이터,3,35313,3,15
바이오통계학,-,과제물,기말 시험,전공,통계·데이터,3,35329,3,15
실험계획과응용,비대면 수업,대체과제물,기말 시험,전공,통계·데이터,3,35424,3,15
수리통계학,비대면 수업,대체시험,기말 시험,전공,통계·데이터,3,35455,3,15
이슈로보는오늘날의유럽,-,과제물,기말 시험,교양,통계·데이터,4,476,3,15
원격대학교육의이해,웹 강의,-,-,교양,통계·데이터,4,500,1,7
마케팅조사,-,과제물,기말 시험,전공,통계·데이터,4,24455,3,15
비정형데이터분석,비대면 수업,대체과제물,기말 시험,전공,통계·데이터,4,35402,3,15
R데이터분석,비대면 수업,대체과제물,기말 시험,전공,통계·데이터,4,35458,3,15
베이즈데이터분석,-,과제물,기말과제물,전공,통계·데이터,4,35460,3,15
자연언어처리,-,과제물,기말 시험,전공,통계·데이터,4,35461,3,15
대학영어,-,과제물,기말 시험,교양,컴퓨터,1,171,3,15
심리학에게묻다,-,과제물,기말과제물,교양,컴퓨터,1,173,3,15
원격대학교육의이해,웹 강의,-,-,교양,컴퓨터,1,500,1,7
대중영화의이해,-,과제물,기말과제물,일반선택,컴퓨터,1,26103,3,15
컴퓨터과학 개론,대면 수업,대체시험,기말 시험,전공,컴퓨터,1,34204,3,15
멀티미디어시스템,-,과제물,기말 시험,전공,컴퓨터,1,34205,3,15
C프로그래밍,비대면 수업,대체과제물,기말 시험,전공,컴퓨터,1,34308,3,15
대학수학의이해,-,과제물,기말 시험,교양,컴퓨터,2,201,3,15
원격대학교육의이해,웹 강의,-,-,교양,컴퓨터,2,500,1,7
오픈소스기반데이터분석,-,과제물,기말 시험,전공,컴퓨터,2,34206,3,15
자료구조,대면 수업,대체시험,기말 시험,전공,컴퓨터,2,34310,3,15
선형대수,대면 수업,대체시험,기말 시험,전공,컴퓨터,2,34353,3,15
프로그래밍언어론,-,과제물,기말 시험,전공,컴퓨터,2,34354,3,15
경제학의이해,-,과제물,기말 시험,교양,컴퓨터,2,43211,3,15
원격대학교육의이해,웹 강의,-,-,교양,컴퓨터,3,500,1,7
생활법률,-,과제물,기말 시험,교양,컴퓨터,3,21151,3,15
컴퓨터구조,비대면 수업,대체시험,기말 시험,전공,컴퓨터,3,34309,3,15
JSP프로그래밍,비대면 수업,대체시험,기말 시험,전공,컴퓨터,3,34372,3,15
UNIX시스템,-,과제물,기말 시험,전공,컴퓨터,3,34373,3,15
시뮬레이션,-,과제물,기말 시험,전공,컴퓨터,3,34417,3,15
머신러닝,비대면 수업,대체시험,기말 시험,전공,컴퓨터,3,34478,3,15
원격대학교육의이해,웹 강의,-,-,교양,컴퓨터,4,500,1,7
경영전략론,-,과제물,기말 시험,일반선택,컴퓨터,4,24313,3,15
클라우드컴퓨팅,비대면 수업,대체과제물,기말 시험,전공,컴퓨터,4,34401,3,15
컴파일러구성,비대면 수업,대체시험,기말 시험,전공,컴퓨터,4,34418,3,15
딥러닝,비대면 수업,대체시험,기말 시험,전공,컴퓨터,4,34479,3,15
빅데이터의이해와활용,-,과제물,기말 시험,일반선택,컴퓨터,4,35457,3,15
"성,사랑,사회",-,과제물,기말 시험,교양,컴퓨터,4,43312,3,15
